Repeat,VAR2,Point,Source Voltage,Source Current,Source Resistance,Source Power,Source Time,Source State,Source Source,Gate Voltage,Gate Current,Gate Resistance,Gate Power,Gate Time,Gate State,Gate Source
1,1,1,-60.00000E+000,-1.69600E-009,35.37736E+009,101.76000E-009,16.33400E-003,1792,-60.00000E+000,20.00000E+000,-746.00000E-012,-26.80965E+009,-14.92000E-009,16.33400E-003,1728,20.00000E+000
1,1,2,-60.00000E+000,-856.00000E-012,70.09346E+009,51.36000E-009,29.99900E-003,1792,-60.00000E+000,18.00000E+000,-681.00000E-012,-26.43172E+009,-12.25800E-009,29.99900E-003,1728,18.00000E+000
1,1,3,-60.00000E+000,671.00000E-012,-89.41878E+009,-40.26000E-009,41.90700E-003,1792,-60.00000E+000,16.00000E+000,926.00000E-012,17.27862E+009,14.81600E-009,41.90700E-003,1728,16.00000E+000
1,1,4,-60.00000E+000,-479.00000E-012,125.26096E+009,28.74000E-009,45.61500E-003,1792,-60.00000E+000,14.00000E+000,-1.22600E-009,-11.41925E+009,-17.16400E-009,45.61500E-003,1728,14.00000E+000
1,1,5,-60.00000E+000,-1.00300E-009,59.82054E+009,60.18000E-009,49.57300E-003,1792,-60.00000E+000,12.00001E+000,-2.17500E-009,-5.51725E+009,-26.10002E-009,49.57300E-003,1728,12.00000E+000
1,1,6,-60.00000E+000,-630.00000E-012,95.23810E+009,37.80000E-009,63.36000E-003,1792,-60.00000E+000,10.00000E+000,-1.08600E-009,-9.20810E+009,-10.86000E-009,63.36000E-003,1728,10.00000E+000
1,1,7,-60.00000E+000,-104.00000E-012,576.92308E+009,6.24000E-009,77.16400E-003,1792,-60.00000E+000,8.00000E+000,-393.00000E-012,-20.35623E+009,-3.14400E-009,77.16400E-003,1728,8.00000E+000
1,1,8,-60.00000E+000,240.00000E-012,-250.00000E+009,-14.40000E-009,88.94100E-003,1792,-60.00000E+000,6.00000E+000,-13.00000E-012,-461.53846E+009,-78.00000E-012,88.94100E-003,1728,6.00000E+000
1,1,9,-60.00000E+000,225.00000E-012,-266.66667E+009,-13.50000E-009,92.91000E-003,1792,-60.00000E+000,4.00000E+000,-475.00000E-012,-8.42105E+009,-1.90000E-009,92.91000E-003,1728,4.00000E+000
1,1,10,-60.00000E+000,-579.00000E-012,103.62694E+009,34.74000E-009,97.16000E-003,1792,-60.00000E+000,2.00000E+000,-2.06600E-009,-968.05421E+006,-4.13200E-009,97.16000E-003,1664,2.00000E+000
1,1,11,-60.00000E+000,-299.00000E-012,200.66890E+009,17.94000E-009,101.92400E-003,1792,-60.00000E+000,-2.20000E-006,-2.40700E-009,914.00083E+000,5.29540E-015,101.92400E-003,1600,0.00000E+000
1,1,12,-60.00000E+000,-21.00000E-012,2.85714E+012,1.26000E-009,105.93200E-003,1792,-60.00000E+000,-1.99999E+000,-3.55500E-009,562.58594E+006,7.10998E-009,105.93200E-003,1664,-2.00000E+000
1,1,13,-60.00000E+000,-1.95000E-009,30.76923E+009,117.00000E-009,120.70300E-003,1792,-60.00000E+000,-4.00000E+000,-1.05800E-009,3.78072E+009,4.23200E-009,120.70300E-003,1728,-4.00000E+000
1,1,14,-60.00000E+000,-4.64300E-009,12.92268E+009,278.58000E-009,132.85700E-003,1792,-60.00000E+000,-6.00000E+000,-2.33300E-009,2.57180E+009,13.99800E-009,132.85700E-003,1728,-6.00000E+000
1,1,15,-60.00000E+000,-6.99600E-009,8.57633E+009,419.76000E-009,146.56000E-003,1792,-60.00000E+000,-8.00000E+000,-1.71300E-009,4.67017E+009,13.70400E-009,146.56000E-003,1728,-8.00000E+000
1,1,16,-60.00000E+000,-9.23000E-009,6.50054E+009,553.80000E-009,158.41500E-003,1792,-60.00000E+000,-10.00000E+000,-75.00000E-012,133.33333E+009,750.00000E-012,158.41500E-003,1728,-10.00000E+000
1,1,17,-60.00000E+000,-15.40000E-009,3.89610E+009,924.00000E-009,170.36200E-003,1792,-60.00000E+000,-12.00000E+000,-1.85200E-009,6.47948E+009,22.22400E-009,170.36200E-003,1728,-12.00000E+000
1,1,18,-60.00000E+000,-23.12400E-009,2.59471E+009,1.38744E-006,183.12000E-003,1792,-60.00000E+000,-14.00000E+000,-4.06500E-009,3.44403E+009,56.91000E-009,183.12000E-003,1728,-14.00000E+000
1,1,19,-60.00000E+000,-30.33300E-009,1.97804E+009,1.81998E-006,195.04400E-003,1792,-60.00000E+000,-16.00000E+000,-4.46900E-009,3.58022E+009,71.50400E-009,195.04400E-003,1728,-16.00000E+000
1,1,20,-60.00000E+000,-37.27400E-009,1.60970E+009,2.23644E-006,207.02400E-003,1792,-60.00000E+000,-18.00001E+000,-4.78500E-009,3.76176E+009,86.13005E-009,207.02400E-003,1728,-18.00000E+000
1,1,21,-60.00000E+000,-70.17900E-009,854.95661E+006,4.21074E-006,210.50600E-003,1792,-60.00000E+000,-20.00015E+000,-12.92300E-009,1.54764E+009,258.46194E-009,210.50600E-003,1728,-20.00000E+000
1,1,22,-60.00000E+000,-66.44300E-009,903.02966E+006,3.98658E-006,225.70900E-003,1792,-60.00000E+000,-22.00000E+000,-9.75100E-009,2.25618E+009,214.52200E-009,225.70900E-003,1792,-22.00000E+000
1,1,23,-60.00000E+000,-82.22500E-009,729.70508E+006,4.93350E-006,237.85400E-003,1792,-60.00000E+000,-24.00000E+000,-12.54500E-009,1.91311E+009,301.08000E-009,237.85400E-003,1792,-24.00000E+000
1,1,24,-60.00000E+000,-98.06700E-009,611.82661E+006,5.88402E-006,249.78100E-003,1792,-60.00000E+000,-26.00000E+000,-15.55700E-009,1.67127E+009,404.48200E-009,249.78100E-003,1792,-26.00000E+000
1,1,25,-60.00000E+000,-114.10600E-009,525.82686E+006,6.84636E-006,264.03700E-003,1792,-60.00000E+000,-28.00000E+000,-13.88500E-009,2.01656E+009,388.78000E-009,264.03700E-003,1792,-28.00000E+000
1,1,26,-60.00000E+000,-134.09500E-009,447.44398E+006,8.04570E-006,276.52400E-003,1792,-60.00000E+000,-30.00000E+000,-13.67900E-009,2.19314E+009,410.37000E-009,276.52400E-003,1792,-30.00000E+000
1,1,27,-60.00000E+000,-157.24100E-009,381.57987E+006,9.43446E-006,288.54500E-003,1792,-60.00000E+000,-32.00000E+000,-13.06200E-009,2.44985E+009,417.98400E-009,288.54500E-003,1792,-32.00000E+000
1,1,28,-60.00000E+000,-169.56900E-009,353.83826E+006,10.17414E-006,303.78600E-003,1792,-60.00000E+000,-34.00000E+000,-10.87600E-009,3.12615E+009,369.78400E-009,303.78600E-003,1792,-34.00000E+000
1,1,29,-60.00000E+000,-192.86000E-009,311.10650E+006,11.57160E-006,316.52600E-003,1792,-60.00000E+000,-36.00000E+000,-12.65400E-009,2.84495E+009,455.54400E-009,316.52600E-003,1792,-36.00000E+000
1,1,30,-60.00000E+000,-221.81700E-009,270.49324E+006,13.30902E-006,328.38700E-003,1792,-60.00000E+000,-38.00000E+000,-11.59600E-009,3.27699E+009,440.64800E-009,328.38700E-003,1792,-38.00000E+000
1,1,31,-60.00000E+000,-279.25900E-009,214.85431E+006,16.75554E-006,332.08200E-003,1792,-60.00000E+000,-40.00000E+000,-26.76900E-009,1.49427E+009,1.07076E-006,332.08200E-003,1792,-40.00000E+000
1,1,32,-60.00000E+000,-281.54400E-009,213.11056E+006,16.89264E-006,346.54700E-003,1792,-60.00000E+000,-42.00000E+000,-14.44500E-009,2.90758E+009,606.69000E-009,346.54700E-003,1792,-42.00000E+000
1,1,33,-60.00000E+000,-348.51600E-009,172.15852E+006,20.91096E-006,351.15300E-003,1792,-60.00000E+000,-44.00000E+000,-27.14700E-009,1.62081E+009,1.19447E-006,351.15300E-003,1792,-44.00000E+000
1,1,34,-60.00000E+000,-355.62500E-009,168.71705E+006,21.33750E-006,363.37400E-003,1792,-60.00000E+000,-46.00000E+000,-17.77700E-009,2.58761E+009,817.74200E-009,363.37400E-003,1792,-46.00000E+000
1,1,35,-60.00000E+000,-375.54900E-009,159.76610E+006,22.53294E-006,375.50100E-003,1792,-60.00000E+000,-48.00000E+000,-13.80900E-009,3.47599E+009,662.83200E-009,375.50100E-003,1792,-48.00000E+000
1,1,36,-60.00000E+000,-370.80500E-009,161.81012E+006,22.24830E-006,390.86800E-003,1792,-60.00000E+000,-50.00000E+000,-11.33800E-009,4.40995E+009,566.90000E-009,390.86800E-003,1792,-50.00000E+000
1,1,37,-60.00000E+000,-387.37200E-009,154.88987E+006,23.24232E-006,403.30600E-003,1792,-60.00000E+000,-52.00000E+000,-12.53800E-009,4.14739E+009,651.97600E-009,403.30600E-003,1792,-52.00000E+000
1,1,38,-60.00000E+000,-417.66300E-009,143.65649E+006,25.05978E-006,415.32900E-003,1792,-60.00000E+000,-54.00000E+000,-14.66200E-009,3.68299E+009,791.74800E-009,415.32900E-003,1792,-54.00000E+000
1,1,39,-60.00000E+000,-426.58500E-009,140.65192E+006,25.59510E-006,430.03900E-003,1792,-60.00000E+000,-56.00000E+000,-12.61400E-009,4.43951E+009,706.38400E-009,430.03900E-003,1792,-56.00000E+000
1,1,40,-60.00000E+000,-492.33700E-009,121.86775E+006,29.54022E-006,434.28100E-003,1792,-60.00000E+000,-58.00000E+000,-30.73200E-009,1.88728E+009,1.78246E-006,434.28100E-003,1792,-58.00000E+000
1,1,41,-60.00000E+000,-559.03100E-009,107.32857E+006,33.54186E-006,438.23000E-003,1792,-60.00000E+000,-60.00000E+000,-39.79000E-009,1.50792E+009,2.38740E-006,438.23000E-003,1792,-60.00000E+000
1,1,42,-60.00000E+000,-553.45400E-009,108.41009E+006,33.20724E-006,450.65800E-003,1792,-60.00000E+000,-62.00000E+000,-22.63100E-009,2.73960E+009,1.40312E-006,450.65800E-003,1792,-62.00000E+000
1,1,43,-60.00000E+000,-536.93900E-009,111.74454E+006,32.21634E-006,466.07900E-003,1792,-60.00000E+000,-64.00000E+000,-16.99200E-009,3.76648E+009,1.08749E-006,466.07900E-003,1792,-64.00000E+000
1,1,44,-60.00000E+000,-558.30200E-009,107.46872E+006,33.49812E-006,478.60100E-003,1792,-60.00000E+000,-66.00000E+000,-16.50400E-009,3.99903E+009,1.08926E-006,478.60100E-003,1792,-66.00000E+000
1,1,45,-60.00000E+000,-566.59900E-009,105.89500E+006,33.99594E-006,490.71400E-003,1792,-60.00000E+000,-68.00000E+000,-15.59800E-009,4.35953E+009,1.06066E-006,490.71400E-003,1792,-68.00000E+000
1,1,46,-60.00000E+000,-615.45800E-009,97.48837E+006,36.92748E-006,494.76200E-003,1792,-60.00000E+000,-70.00000E+000,-32.25500E-009,2.17021E+009,2.25785E-006,494.76200E-003,1792,-70.00000E+000
1,1,47,-60.00000E+000,-605.60600E-009,99.07432E+006,36.33636E-006,509.43200E-003,1792,-60.00000E+000,-72.00000E+000,-17.25200E-009,4.17343E+009,1.24214E-006,509.43200E-003,1792,-72.00000E+000
1,1,48,-60.00000E+000,-606.79000E-009,98.88100E+006,36.40740E-006,521.66800E-003,1792,-60.00000E+000,-74.00000E+000,-16.77500E-009,4.41133E+009,1.24135E-006,521.66800E-003,1792,-74.00000E+000
1,1,49,-60.00000E+000,-621.87100E-009,96.48303E+006,37.31226E-006,534.03300E-003,1792,-60.00000E+000,-76.00000E+000,-17.50900E-009,4.34062E+009,1.33068E-006,534.03300E-003,1792,-76.00000E+000
1,1,50,-60.00000E+000,-665.49700E-009,90.15818E+006,39.92982E-006,538.03600E-003,1792,-60.00000E+000,-78.00000E+000,-32.87700E-009,2.37248E+009,2.56441E-006,538.03600E-003,1792,-78.00000E+000
1,1,51,-60.00000E+000,-638.49100E-009,93.97157E+006,38.30946E-006,552.70200E-003,1792,-60.00000E+000,-80.00000E+000,-17.28900E-009,4.62722E+009,1.38312E-006,552.70200E-003,1792,-80.00000E+000
1,1,52,-60.00000E+000,-640.11100E-009,93.73374E+006,38.40666E-006,564.93000E-003,1792,-60.00000E+000,-82.00000E+000,-16.75400E-009,4.89435E+009,1.37383E-006,564.93000E-003,1792,-82.00000E+000
1,1,53,-60.00000E+000,-627.55000E-009,95.60991E+006,37.65300E-006,579.48500E-003,1792,-60.00000E+000,-84.00000E+000,-13.98800E-009,6.00515E+009,1.17499E-006,579.48500E-003,1792,-84.00000E+000
1,1,54,-60.00000E+000,-626.35800E-009,95.79186E+006,37.58148E-006,593.19200E-003,1792,-60.00000E+000,-86.00000E+000,-12.44500E-009,6.91041E+009,1.07027E-006,593.19200E-003,1792,-86.00000E+000
1,1,55,-60.00000E+000,-632.03300E-009,94.93175E+006,37.92198E-006,605.48600E-003,1792,-60.00000E+000,-88.00000E+000,-13.79400E-009,6.37959E+009,1.21387E-006,605.48600E-003,1792,-88.00000E+000
1,1,56,-60.00000E+000,-636.63400E-009,94.24567E+006,38.19804E-006,617.75700E-003,1792,-60.00000E+000,-90.00000E+000,-15.11500E-009,5.95435E+009,1.36035E-006,617.75700E-003,1792,-90.00000E+000
1,1,57,-60.00000E+000,-628.15400E-009,95.51798E+006,37.68924E-006,632.15100E-003,1792,-60.00000E+000,-92.00000E+000,-13.60800E-009,6.76073E+009,1.25194E-006,632.15100E-003,1792,-92.00000E+000
1,1,58,-60.00000E+000,-634.04700E-009,94.63021E+006,38.04282E-006,645.62200E-003,1792,-60.00000E+000,-94.00000E+000,-13.09400E-009,7.17886E+009,1.23084E-006,645.62200E-003,1792,-94.00000E+000
1,1,59,-60.00000E+000,-637.40900E-009,94.13108E+006,38.24454E-006,657.89000E-003,1792,-60.00000E+000,-96.00000E+000,-12.28400E-009,7.81504E+009,1.17926E-006,657.89000E-003,1792,-96.00000E+000
1,1,60,-60.00000E+000,-632.06100E-009,94.92755E+006,37.92366E-006,672.44200E-003,1792,-60.00000E+000,-98.00000E+000,-10.85900E-009,9.02477E+009,1.06418E-006,672.44200E-003,1792,-98.00000E+000
1,1,61,-60.00000E+000,-639.68500E-009,93.79617E+006,38.38110E-006,686.32400E-003,1792,-60.00000E+000,-100.00000E+000,-12.38000E-009,8.07754E+009,1.23800E-006,686.32400E-003,1792,-100.00000E+000
1,2,1,-64.00000E+000,-4.67900E-009,13.67814E+009,299.45600E-009,827.14900E-003,1792,-64.00000E+000,20.00000E+000,5.08900E-009,3.93005E+009,101.78000E-009,827.14900E-003,1728,20.00000E+000
1,2,2,-64.00000E+000,-1.80700E-009,35.41782E+009,115.64800E-009,840.36200E-003,1792,-64.00000E+000,18.00000E+000,3.83900E-009,4.68872E+009,69.10200E-009,840.36200E-003,1728,18.00000E+000
